system:index,B11,B12,B2,B3,B4,B8,ID,Latitude,Longitude,.geo
00000000000000001c74,2445.5555555555557,1844.4285714285713,482.73333333333335,737.9024390243902,924.4615384615385,2327.3333333333335,26ZF1S,-19.0063,46.70313,"{""type"":""Point"",""coordinates"":[46.703128814697266,-19.006299972534183]}"
00000000000000001ca4,2902.0,1966.0,490.0,788.0,990.0,2454.0,FAY51Y,-18.97895,46.70331,"{""type"":""Point"",""coordinates"":[46.70330810546875,-18.978950500488285]}"
00000000000000001cd1,1804.0,1393.6666666666667,301.5833333333333,555.5,856.0,1553.3333333333333,7D7QA9,-18.95572,46.70331,"{""type"":""Point"",""coordinates"":[46.70330810546875,-18.955720901489258]}"
00000000000000001cc9,2193.0,1640.0,400.2857142857143,721.2222222222222,909.0,2129.25,KXS6SR,-18.95712,46.70334,"{""type"":""Point"",""coordinates"":[46.703338623046875,-18.957120895385742]}"
00000000000000001cdc,2516.2,1878.0,520.7142857142857,753.1666666666666,1064.8,2161.0,XQEVIK,-18.95386,46.70357,"{""type"":""Point"",""coordinates"":[46.70357131958008,-18.953859329223633]}"
00000000000000001c9e,2359.5,1660.0,456.6666666666667,724.5,1075.3333333333333,2290.0,EM9HWC,-18.97995,46.70364,"{""type"":""Point"",""coordinates"":[46.70363998413086,-18.979949951171875]}"
00000000000000001c7c,2415.25,1970.4285714285713,400.3529411764706,620.1111111111111,809.0,1810.6666666666667,08H0GI,-19.00486,46.70428,"{""type"":""Point"",""coordinates"":[46.704280853271484,-19.004859924316406]}"
00000000000000001c4c,2600.25,1986.0,493.6363636363636,814.8947368421053,1002.6666666666666,2189.4,RLLJ2J,-19.02392,46.70479,"{""type"":""Point"",""coordinates"":[46.70478820800781,-19.0239200592041]}"
00000000000000001ce1,2981.0,2165.0,457.77777777777777,752.8333333333334,942.6666666666666,2311.6666666666665,ORZDLE,-18.94937,46.7058,"{""type"":""Point"",""coordinates"":[46.70579910278321,-18.94936943054199]}"
00000000000000001c98,2420.0,2008.5,364.6666666666667,626.6666666666666,700.6,1986.6666666666667,PILYWB,-18.98095,46.70603,"{""type"":""Point"",""coordinates"":[46.706031799316406,-18.98094940185547]}"
00000000000000001c46,2552.0,1905.2857142857142,459.9,749.8888888888889,876.6666666666666,2420.0,TMILLW,-19.0255,46.70617,"{""type"":""Point"",""coordinates"":[46.70616912841797,-19.025499343872067]}"
00000000000000001c47,2552.0,1905.2857142857142,459.9,749.8888888888889,876.6666666666666,2420.0,6ZOJX7,-19.0255,46.70617,"{""type"":""Point"",""coordinates"":[46.70616912841797,-19.025499343872067]}"
00000000000000001c62,2480.8571428571427,1895.0,474.17857142857144,735.2941176470588,928.5555555555555,2062.25,OGTNN7,-19.01927,46.70617,"{""type"":""Point"",""coordinates"":[46.70616912841797,-19.019269943237305]}"
00000000000000001ce0,2421.714285714286,1805.0,431.8333333333333,720.2727272727273,1005.8333333333334,1870.4,0AB4VN,-18.95187,46.7065,"{""type"":""Point"",""coordinates"":[46.706501007080085,-18.95186996459961]}"
00000000000000001cc6,2296.0,1706.0,569.0,940.0,1301.0,2645.3333333333335,FJSQXR,-18.95755,46.70669,"{""type"":""Point"",""coordinates"":[46.70669174194336,-18.95755004882813]}"
00000000000000001cd3,2611.0,2066.0,498.0,808.2,1280.0,2186.5555555555557,DGY2EF,-18.95481,46.70696,"{""type"":""Point"",""coordinates"":[46.70695877075195,-18.954809188842773]}"
00000000000000001cca,2504.0,1879.6666666666667,504.6666666666667,755.3333333333334,1154.0,2179.5,P4RE9T,-18.95684,46.70803,"{""type"":""Point"",""coordinates"":[46.708030700683594,-18.95684051513672]}"
00000000000000001c48,2597.3076923076924,1913.6666666666667,474.0,731.3076923076923,928.6,2333.375,8HU71J,-19.02532,46.70829,"{""type"":""Point"",""coordinates"":[46.708290100097656,-19.025320053100586]}"
00000000000000001c66,2577.8333333333335,1874.0,486.38461538461536,717.3125,977.75,2060.0,ZEWLIV,-19.01862,46.70854,"{""type"":""Point"",""coordinates"":[46.70854187011719,-19.018619537353516]}"
00000000000000001ccb,2424.0,1855.0,492.6666666666667,749.6,1008.6666666666666,2125.3333333333335,J9B753,-18.95683,46.71074,"{""type"":""Point"",""coordinates"":[46.71073913574219,-18.956829071044925]}"
00000000000000001d1a,1090.5,485.0,267.0,383.5,243.0,2057.5,KL503L,-18.3167,48.6842,"{""type"":""Point"",""coordinates"":[48.68420028686523,-18.316699981689453]}"
00000000000000001d5c,1029.5,421.0,247.5,370.5,233.0,2086.0,98U96T,-18.2806,48.6847,"{""type"":""Point"",""coordinates"":[48.68470001220703,-18.280599594116214]}"
00000000000000001d22,986.5,420.0,231.0,354.0,212.0,2196.0,3LJGV1,-18.3148,48.6853,"{""type"":""Point"",""coordinates"":[48.685298919677734,-18.314800262451172]}"
00000000000000001d69,1180.5,522.0,271.5,442.5,254.5,2456.0,7ROBH1,-18.2763,48.6856,"{""type"":""Point"",""coordinates"":[48.68560028076172,-18.27630043029785]}"
00000000000000001d29,1218.5,525.0,252.0,386.5,242.0,2402.0,5GMB1R,-18.3113,48.6857,"{""type"":""Point"",""coordinates"":[48.685699462890625,-18.311300277709957]}"
00000000000000001d21,1093.0,502.0,250.5,378.0,221.0,2223.0,9SAIE8,-18.3158,48.6861,"{""type"":""Point"",""coordinates"":[48.68610000610352,-18.31579971313477]}"
00000000000000001d38,1117.0,551.5,215.5,376.5,199.0,2178.0,UB9989,-18.301,48.6864,"{""type"":""Point"",""coordinates"":[48.68640136718751,-18.30100059509277]}"
00000000000000001d2a,1213.5,540.5,267.5,399.5,265.0,2225.5,BTYY9V,-18.3108,48.6868,"{""type"":""Point"",""coordinates"":[48.686798095703125,-18.310800552368164]}"
00000000000000001d45,1048.5,472.0,198.5,333.5,191.5,2058.5,PXQIZG,-18.2971,48.687,"{""type"":""Point"",""coordinates"":[48.6870002746582,-18.297100067138672]}"
00000000000000001d28,1175.0,483.5,307.0,444.0,276.5,2761.5,3H9C5G,-18.3113,48.6871,"{""type"":""Point"",""coordinates"":[48.6870994567871,-18.31130027770996]}"
00000000000000001ce7,1293.0,539.5,222.5,421.0,230.0,2799.0,M1XX52,-18.3469,48.6872,"{""type"":""Point"",""coordinates"":[48.68719863891602,-18.346900939941406]}"
00000000000000001d6b,1048.0,444.0,219.0,338.5,207.0,1917.5,VYV288,-18.2759,48.6875,"{""type"":""Point"",""coordinates"":[48.68749999999999,-18.27589988708496]}"
00000000000000001d6c,1048.0,444.0,219.0,338.5,207.0,1917.5,1U938K,-18.2759,48.6875,"{""type"":""Point"",""coordinates"":[48.68749999999999,-18.27589988708496]}"
00000000000000001d33,1184.5,507.5,212.0,363.5,204.0,2398.0,RZ5GKO,-18.3019,48.6878,"{""type"":""Point"",""coordinates"":[48.687801361083984,-18.30190086364746]}"
00000000000000001d61,1093.5,470.5,245.5,393.0,248.0,2218.0,PC8Z7S,-18.2779,48.6879,"{""type"":""Point"",""coordinates"":[48.68790054321289,-18.27790069580078]}"
