,ID,landform_11,landform_12,landform_14,landform_21,landform_22,landform_24,landform_31,landform_34,landform_41,landform_42
190,PBWZVO,0,0,0,1,0,0,0,0,0,0
191,7AL2DY,0,0,0,1,0,0,0,0,0,0
192,1VH5A2,0,0,0,1,0,0,0,0,0,0
193,FFABCG,0,0,0,1,0,0,0,0,0,0
194,0NOJGK,0,0,0,1,0,0,0,0,0,0
195,G1P5IM,0,0,0,0,0,0,1,0,0,0
196,VLS9K5,0,0,0,0,0,0,1,0,0,0
197,BG09Q6,0,0,0,1,0,0,0,0,0,0
198,I9C7T2,0,0,0,1,0,0,0,0,0,0
199,AI6FOW,0,0,0,1,0,0,0,0,0,0
200,FOUHNG,0,0,0,1,0,0,0,0,0,0
201,M0CRSQ,0,0,0,1,0,0,0,0,0,0
202,KNSE95,0,0,0,0,0,0,0,0,1,0
203,BNGQBO,0,0,0,0,0,0,0,0,1,0
204,Q5N2BJ,0,0,0,0,0,0,0,0,1,0
205,BE5WOW,0,0,0,0,0,0,0,0,1,0
206,QM4K4I,0,0,0,1,0,0,0,0,0,0
207,202AM3,0,0,0,1,0,0,0,0,0,0
208,CHFMTT,0,0,0,0,0,0,1,0,0,0
209,43YXDV,0,0,0,0,0,0,1,0,0,0
210,6TRWFW,0,0,0,0,0,0,1,0,0,0
211,P7L1VJ,0,0,0,0,0,0,1,0,0,0
212,R13JGO,0,0,0,1,0,0,0,0,0,0
213,JRXZQX,0,0,0,1,0,0,0,0,0,0
214,C7HT0L,0,0,0,1,0,0,0,0,0,0
215,3PLKO5,0,0,0,1,0,0,0,0,0,0
216,XZH4O3,0,0,0,1,0,0,0,0,0,0
217,M02IZB,0,0,0,1,0,0,0,0,0,0
218,RG7AZ4,1,0,0,0,0,0,0,0,0,0
219,UEH909,0,0,0,1,0,0,0,0,0,0
220,D934ST,0,0,0,1,0,0,0,0,0,0
221,Q01V17,0,0,0,1,0,0,0,0,0,0
222,HTLB2J,0,0,0,1,0,0,0,0,0,0
223,XQB5JP,0,0,0,1,0,0,0,0,0,0
224,LSMLB2,0,0,0,1,0,0,0,0,0,0
225,VB2LQG,1,0,0,0,0,0,0,0,0,0
226,S10NU2,1,0,0,0,0,0,0,0,0,0
227,LW83UU,0,0,0,0,0,0,1,0,0,0
228,EBVKEY,0,0,0,0,0,0,1,0,0,0
229,JE6VJG,0,0,0,0,0,0,1,0,0,0
230,REOST5,0,0,0,0,0,0,1,0,0,0
231,HP88NP,0,0,0,0,0,0,1,0,0,0
232,7PIN8J,0,0,0,0,0,0,1,0,0,0
233,NRDLQM,0,0,0,0,0,0,1,0,0,0
234,BVT5UY,0,0,0,0,0,0,1,0,0,0
235,XDD9AL,0,0,0,0,0,0,1,0,0,0
236,ZESWA0,0,0,0,0,0,0,1,0,0,0
237,JDLOZ8,0,0,0,0,0,0,1,0,0,0
238,4BCSOG,0,0,0,0,0,0,1,0,0,0
239,18DIJ6,0,0,0,0,0,0,1,0,0,0
240,PAHHVL,0,0,0,0,0,0,1,0,0,0
241,VN7SVT,0,0,0,0,0,0,0,0,1,0
242,GHG435,0,0,0,0,0,0,0,0,1,0
243,EEQCIF,0,0,0,0,0,0,0,0,1,0
244,J4IPLH,0,0,0,0,0,0,0,0,1,0
245,5IIH4V,0,0,0,1,0,0,0,0,0,0
246,OQIKG1,0,0,0,1,0,0,0,0,0,0
247,8LWMKR,0,0,0,0,0,0,1,0,0,0
248,5Z84V6,0,0,0,0,0,0,1,0,0,0
249,HF5D0D,0,0,0,1,0,0,0,0,0,0
250,9M5ATK,0,0,0,1,0,0,0,0,0,0
251,RZJYAJ,0,0,0,1,0,0,0,0,0,0
252,E0UIP6,0,0,0,1,0,0,0,0,0,0
253,CMAD69,0,0,0,1,0,0,0,0,0,0
254,BEICM3,0,0,0,1,0,0,0,0,0,0
255,97UPQL,0,0,0,1,0,0,0,0,0,0
256,WTW3V2,0,0,0,1,0,0,0,0,0,0
257,TXRT9X,0,0,0,0,0,0,0,0,1,0
258,1ASRZO,0,0,0,0,0,0,0,0,1,0
259,P9XTQ2,0,0,0,0,0,0,0,0,0,1
260,QHDBVS,0,0,0,0,0,0,0,0,0,1
261,ZG0CLI,0,0,0,1,0,0,0,0,0,0
262,MAVJYF,0,0,0,1,0,0,0,0,0,0
263,MF3YBW,0,0,0,0,0,0,1,0,0,0
264,BL1DO9,0,0,0,0,0,0,1,0,0,0
265,FALO7T,0,0,0,0,0,0,0,0,1,0
266,OT1HEX,0,0,0,0,0,0,0,0,1,0
267,MOJ3KR,0,0,0,1,0,0,0,0,0,0
268,7CCF46,0,0,0,1,0,0,0,0,0,0
269,PILPDS,0,0,0,1,0,0,0,0,0,0
270,CODVVA,0,0,0,1,0,0,0,0,0,0
271,4FPX9Y,0,0,0,0,0,0,1,0,0,0
272,SPS9PU,0,0,0,0,0,0,1,0,0,0
273,7BLD2K,0,0,0,0,0,0,0,0,1,0
274,QZ4D84,0,0,0,0,0,0,0,0,1,0
275,RAJNI1,0,0,0,1,0,0,0,0,0,0
276,ZVBJ9S,0,0,0,1,0,0,0,0,0,0
277,54UNH7,0,0,0,1,0,0,0,0,0,0
278,VKREW5,0,0,0,1,0,0,0,0,0,0
279,CHZXEA,0,0,0,0,0,0,1,0,0,0
280,CLLMZ2,0,0,0,0,0,0,1,0,0,0
281,75YSOD,0,0,0,0,0,0,1,0,0,0
282,1I2DP6,0,0,0,1,0,0,0,0,0,0
283,EJJ2ZF,0,0,0,1,0,0,0,0,0,0
284,MWAMII,0,0,0,1,0,0,0,0,0,0
285,O6OFOJ,0,0,0,1,0,0,0,0,0,0
286,H4V3VG,0,0,0,0,0,0,0,0,1,0
287,GGDH81,0,0,0,0,0,0,0,0,1,0
288,HCLNH9,0,0,0,1,0,0,0,0,0,0
289,JYKB6F,0,0,0,1,0,0,0,0,0,0
290,8DSAY5,0,0,0,0,0,0,1,0,0,0
291,BVQH8O,0,0,0,0,0,0,1,0,0,0
292,0RCRV3,0,0,0,1,0,0,0,0,0,0
293,CH3DDE,0,0,0,1,0,0,0,0,0,0
294,CF1OGM,0,0,0,0,0,0,1,0,0,0
295,NRH04T,0,0,0,0,0,0,1,0,0,0
296,TF1PWM,0,0,0,0,0,0,0,0,1,0
297,JNDSSO,0,0,0,0,0,0,0,0,1,0
298,3BCAQE,0,0,0,0,0,0,1,0,0,0
299,1AW1Y2,0,0,0,0,0,0,1,0,0,0
300,6IOA5B,0,0,0,0,0,0,1,0,0,0
301,40A9SL,0,0,0,0,0,0,1,0,0,0
302,46JC32,0,0,0,0,0,0,1,0,0,0
303,0QU89C,0,0,0,0,0,0,1,0,0,0
304,AQ3TNG,0,0,0,0,0,0,1,0,0,0
305,QBSKSR,0,0,0,0,0,0,1,0,0,0
306,M37200,0,0,0,0,0,0,1,0,0,0
307,SWPM8W,0,0,0,0,0,0,1,0,0,0
308,F97535,0,0,0,0,0,0,1,0,0,0
309,14KPES,0,0,0,0,0,0,1,0,0,0
310,BS4U0Z,0,0,0,0,0,0,1,0,0,0
311,JDNG4F,0,0,0,0,0,0,1,0,0,0
312,GCL0NU,0,0,0,1,0,0,0,0,0,0
313,ZCAN03,0,0,0,1,0,0,0,0,0,0
314,ZS9R6G,0,0,0,0,0,0,1,0,0,0
315,3BZWF8,0,0,0,0,0,0,1,0,0,0
316,4JV3FN,0,0,0,0,0,0,1,0,0,0
317,838858,0,0,0,0,0,0,1,0,0,0
318,XBXUXP,0,0,0,1,0,0,0,0,0,0
319,UOB21U,0,0,0,1,0,0,0,0,0,0
320,L63ET9,0,0,0,0,0,0,1,0,0,0
